Linguist,Sources
Bruno Olsson,bo
Charlotte van Tongeren,cvt
Christian D̦hler,cd
Dineke Schokkin,ds
Don Daniels,dd
Drabbe 1954,drabbe1954
Drabbe (Voohoeve 1975),voorhoeve1975
"Drabbe (Voohoeve 1975) and Lebold, Kriens & de Vries 2010",voorhoeve1975 leboldetal2010
"Drabbe (Voohoeve 1975) & Lebold, Kriens & de Vries 2010",voorhoeve1975 leboldetal2010
Emil Mittag,em
Eri Kashima,ek
Jeff Siegel,js
JS,js
Julia Coleen Miller,jcm
Kate L. Lindsey,kl
K Quinn,kq
"Lebold, Kriens & de Vries 2010",leboldetal2010
Matt Carroll,mc
Matthew Carroll,mc
Nick Evans,ne
Tina Gregor,tg
Volker Gast,vg